Entry,Message,SignTime_uS
84,"t=22.71,h=35.40,p=1008.50",46325
85,"t=22.71,h=35.41,p=1008.50",46314
86,"t=22.71,h=35.41,p=1008.50",46327
87,"t=22.71,h=35.39,p=1008.51",46310
88,"t=22.71,h=35.39,p=1008.51",46323
89,"t=22.71,h=35.38,p=1008.52",46309
90,"t=22.71,h=35.38,p=1008.52",46322
91,"t=22.71,h=35.40,p=1008.48",46315
92,"t=22.71,h=35.40,p=1008.48",46342
93,"t=22.71,h=35.40,p=1008.51",46322
94,"t=22.71,h=35.40,p=1008.51",46309
95,"t=22.71,h=35.42,p=1008.51",46329
96,"t=22.71,h=35.42,p=1008.51",46317
97,"t=22.71,h=35.41,p=1008.51",46328
98,"t=22.71,h=35.41,p=1008.51",46321
99,"t=22.71,h=35.41,p=1008.51",46324
100,"t=22.71,h=35.41,p=1008.51",46322
101,"t=22.71,h=35.36,p=1008.51",46314
102,"t=22.71,h=35.36,p=1008.51",46327
103,"t=22.71,h=35.41,p=1008.51",46315
104,"t=22.71,h=35.41,p=1008.51",46329
105,"t=22.71,h=35.39,p=1008.53",46304
106,"t=22.71,h=35.39,p=1008.53",46304
107,"t=22.71,h=35.39,p=1008.53",46306
108,"t=22.71,h=35.39,p=1008.53",46317
109,"t=22.71,h=35.39,p=1008.52",46321
110,"t=22.71,h=35.39,p=1008.52",46325
111,"t=22.72,h=35.39,p=1008.53",46311
112,"t=22.72,h=35.39,p=1008.53",46315
113,"t=22.71,h=35.39,p=1008.51",46315
114,"t=22.71,h=35.39,p=1008.51",46319
115,"t=22.71,h=35.39,p=1008.52",46315
116,"t=22.71,h=35.39,p=1008.52",46323
117,"t=22.72,h=35.40,p=1008.54",46310
118,"t=22.72,h=35.40,p=1008.54",46323
119,"t=22.71,h=35.40,p=1008.48",46315
120,"t=22.71,h=35.40,p=1008.48",46321
121,"t=22.71,h=35.40,p=1008.53",46323
122,"t=22.71,h=35.40,p=1008.53",46360
123,"t=22.71,h=35.40,p=1008.53",46326
124,"t=22.71,h=35.39,p=1008.48",46314
125,"t=22.71,h=35.39,p=1008.48",46325
126,"t=22.72,h=35.39,p=1008.52",46307
127,"t=22.72,h=35.39,p=1008.52",46321
128,"t=22.72,h=35.40,p=1008.53",46312
129,"t=22.72,h=35.40,p=1008.53",46321
130,"t=22.72,h=35.39,p=1008.51",46311
131,"t=22.72,h=35.39,p=1008.51",46322
132,"t=22.72,h=35.39,p=1008.53",46316
133,"t=22.72,h=35.39,p=1008.53",46316
134,"t=22.72,h=35.39,p=1008.52",46311
135,"t=22.72,h=35.39,p=1008.52",46308
136,"t=22.71,h=35.42,p=1008.55",46324
137,"t=22.71,h=35.42,p=1008.55",46308
138,"t=22.72,h=35.40,p=1008.50",46318
139,"t=22.72,h=35.40,p=1008.50",46325
140,"t=22.72,h=35.39,p=1008.50",46322
141,"t=22.72,h=35.39,p=1008.50",46319
142,"t=22.72,h=35.39,p=1008.51",46319
143,"t=22.72,h=35.39,p=1008.51",46316
144,"t=22.62,h=35.42,p=1008.33",46317
145,"t=22.62,h=35.42,p=1008.33",46315
146,"t=22.72,h=35.40,p=1008.54",46323
147,"t=22.72,h=35.40,p=1008.54",46312
148,"t=22.71,h=35.41,p=1008.50",46319
149,"t=22.71,h=35.41,p=1008.50",46324
150,"t=22.71,h=35.41,p=1008.53",46351
151,"t=22.71,h=35.41,p=1008.53",46328
152,"t=22.72,h=35.38,p=1008.52",46322
153,"t=22.72,h=35.38,p=1008.52",46321
154,"t=22.72,h=35.40,p=1008.51",46308
155,"t=22.72,h=35.40,p=1008.51",46321
156,"t=22.72,h=35.40,p=1008.52",46325
157,"t=22.72,h=35.40,p=1008.52",46324
158,"t=22.72,h=35.40,p=1008.52",46318
159,"t=22.72,h=35.40,p=1008.52",46322
160,"t=22.72,h=35.40,p=1008.51",46313
161,"t=22.72,h=35.40,p=1008.51",46305
162,"t=22.72,h=35.40,p=1008.51",46308
163,"t=22.72,h=35.40,p=1008.51",46307
164,"t=22.72,h=35.40,p=1008.52",46327
165,"t=22.72,h=35.40,p=1008.52",46310
166,"t=22.72,h=35.40,p=1008.51",46309
167,"t=22.72,h=35.40,p=1008.51",46308
168,"t=22.72,h=35.40,p=1008.51",46316
169,"t=22.72,h=35.40,p=1008.51",46305
170,"t=22.72,h=35.41,p=1008.52",46310
171,"t=22.72,h=35.41,p=1008.52",46313
172,"t=22.72,h=35.41,p=1008.51",46330
173,"t=22.72,h=35.41,p=1008.51",46328
174,"t=22.72,h=35.41,p=1008.51",46330
175,"t=22.72,h=35.41,p=1008.54",46312
176,"t=22.72,h=35.41,p=1008.54",46354
177,"t=22.72,h=35.41,p=1008.53",46322
178,"t=22.72,h=35.41,p=1008.53",46317
179,"t=22.72,h=35.41,p=1008.49",46319
180,"t=22.72,h=35.41,p=1008.49",46344
181,"t=22.72,h=35.41,p=1008.49",46321
182,"t=22.72,h=35.41,p=1008.49",46321
183,"t=22.65,h=35.42,p=1008.43",46312
184,"t=22.65,h=35.42,p=1008.43",46310
185,"t=22.72,h=35.40,p=1008.54",46324
186,"t=22.72,h=35.40,p=1008.54",46309
187,"t=22.72,h=35.41,p=1008.53",46322
188,"t=22.72,h=35.41,p=1008.53",46320
189,"t=22.72,h=35.43,p=1008.52",46314
190,"t=22.72,h=35.43,p=1008.52",46319
191,"t=22.72,h=35.41,p=1008.54",46308
192,"t=22.72,h=35.41,p=1008.54",46320
193,"t=22.72,h=35.39,p=1008.53",46321
194,"t=22.72,h=35.39,p=1008.53",46315
195,"t=22.72,h=35.42,p=1008.52",46317
196,"t=22.72,h=35.42,p=1008.52",46321
197,"t=22.72,h=35.40,p=1008.55",46313
198,"t=22.72,h=35.40,p=1008.55",46320
199,"t=22.72,h=35.41,p=1008.51",46330
200,"t=22.72,h=35.41,p=1008.51",46334
201,"t=22.72,h=35.41,p=1008.52",46312
202,"t=22.72,h=35.41,p=1008.52",46322
203,"t=22.72,h=35.40,p=1008.53",46311
204,"t=22.72,h=35.40,p=1008.53",46330
205,"t=22.72,h=35.40,p=1008.53",46310
206,"t=22.72,h=35.40,p=1008.53",46311
207,"t=22.72,h=35.44,p=1008.51",46323
208,"t=22.72,h=35.44,p=1008.51",46319
209,"t=22.73,h=35.41,p=1008.53",46304
210,"t=22.73,h=35.41,p=1008.53",46307
211,"t=22.72,h=35.40,p=1008.49",46320
212,"t=22.72,h=35.40,p=1008.49",46316
213,"t=22.72,h=35.40,p=1008.49",46320
214,"t=22.72,h=35.40,p=1008.49",46319
215,"t=22.72,h=35.40,p=1008.53",46318
216,"t=22.72,h=35.40,p=1008.53",46311
217,"t=22.73,h=35.40,p=1008.49",46316
218,"t=22.73,h=35.40,p=1008.49",46309
219,"t=22.72,h=35.40,p=1008.53",46310
220,"t=22.72,h=35.40,p=1008.53",46317
221,"t=22.72,h=35.40,p=1008.51",46312
222,"t=22.72,h=35.40,p=1008.51",46315
223,"t=22.73,h=35.40,p=1008.52",46314
224,"t=22.73,h=35.40,p=1008.52",46320
225,"t=22.73,h=35.40,p=1008.52",46315
226,"t=22.72,h=35.41,p=1008.51",46331
227,"t=22.72,h=35.41,p=1008.51",46326
228,"t=22.72,h=35.41,p=1008.52",46325
229,"t=22.72,h=35.41,p=1008.52",46312
230,"t=22.72,h=35.41,p=1008.51",46336
231,"t=22.72,h=35.41,p=1008.51",46323
232,"t=22.73,h=35.41,p=1008.50",46317
233,"t=22.73,h=35.41,p=1008.50",46307
234,"t=22.73,h=35.40,p=1008.51",46311
235,"t=22.73,h=35.40,p=1008.51",46322
236,"t=22.72,h=35.38,p=1008.51",46310
237,"t=22.72,h=35.38,p=1008.51",46324
238,"t=22.73,h=35.41,p=1008.50",46309
239,"t=22.73,h=35.41,p=1008.50",46321
240,"t=22.72,h=35.41,p=1008.50",46313
241,"t=22.72,h=35.41,p=1008.50",46327
242,"t=22.73,h=35.39,p=1008.51",46316
243,"t=22.73,h=35.39,p=1008.51",46300
244,"t=22.72,h=35.44,p=1008.51",46310
245,"t=22.72,h=35.44,p=1008.51",46315
246,"t=22.72,h=35.40,p=1008.52",46317
247,"t=22.72,h=35.40,p=1008.52",46323
248,"t=22.72,h=35.39,p=1008.49",46329
249,"t=22.72,h=35.39,p=1008.49",46328
250,"t=22.73,h=35.41,p=1008.54",46322
251,"t=22.73,h=35.41,p=1008.54",46313
252,"t=22.72,h=35.38,p=1008.53",46331
253,"t=22.72,h=35.38,p=1008.53",46326
254,"t=22.73,h=35.41,p=1008.53",46315
255,"t=22.73,h=35.41,p=1008.53",46310
256,"t=22.73,h=35.40,p=1008.51",46318
257,"t=22.73,h=35.40,p=1008.51",46310
258,"t=22.73,h=35.40,p=1008.52",46319
259,"t=22.73,h=35.40,p=1008.52",46312
260,"t=22.72,h=35.40,p=1008.52",46326
261,"t=22.72,h=35.40,p=1008.52",46312
262,"t=22.73,h=35.40,p=1008.53",46316
263,"t=22.73,h=35.40,p=1008.53",46323
264,"t=22.73,h=35.39,p=1008.52",46311
265,"t=22.73,h=35.39,p=1008.52",46317
266,"t=22.72,h=35.39,p=1008.50",46312
267,"t=22.72,h=35.39,p=1008.50",46327
268,"t=22.73,h=35.39,p=1008.53",46315
269,"t=22.73,h=35.39,p=1008.53",46329
270,"t=22.73,h=35.39,p=1008.55",46312
271,"t=22.73,h=35.39,p=1008.55",46320
272,"t=22.73,h=35.39,p=1008.57",46311
273,"t=22.73,h=35.39,p=1008.57",46319
274,"t=22.73,h=35.39,p=1008.53",46315
275,"t=22.73,h=35.39,p=1008.53",46316
276,"t=22.73,h=35.39,p=1008.53",46332
277,"t=22.73,h=35.38,p=1008.51",46366
278,"t=22.73,h=35.38,p=1008.51",46318
279,"t=22.73,h=35.39,p=1008.48",46319
280,"t=22.73,h=35.39,p=1008.48",46327
281,"t=22.73,h=35.42,p=1008.51",46312
282,"t=22.73,h=35.42,p=1008.51",46316
283,"t=22.73,h=35.40,p=1008.51",46313
284,"t=22.73,h=35.40,p=1008.51",46319
285,"t=22.73,h=35.41,p=1008.49",46310
286,"t=22.73,h=35.41,p=1008.49",46319
287,"t=22.73,h=35.37,p=1008.51",46319
288,"t=22.73,h=35.37,p=1008.51",46323
289,"t=22.73,h=35.39,p=1008.52",46308
290,"t=22.73,h=35.39,p=1008.52",46312
291,"t=22.73,h=35.38,p=1008.53",46313
292,"t=22.73,h=35.38,p=1008.53",46306
293,"t=22.73,h=35.39,p=1008.53",46326
294,"t=22.73,h=35.39,p=1008.53",46316
295,"t=22.73,h=35.39,p=1008.55",46320
296,"t=22.73,h=35.39,p=1008.55",46313
297,"t=22.73,h=35.40,p=1008.53",46328
298,"t=22.73,h=35.40,p=1008.53",46313
299,"t=22.73,h=35.39,p=1008.51",46315
300,"t=22.73,h=35.39,p=1008.51",46303
301,"t=22.73,h=35.40,p=1008.51",46322
302,"t=22.73,h=35.40,p=1008.51",46309
303,"t=22.73,h=35.38,p=1008.50",46313
304,"t=22.73,h=35.38,p=1008.50",46319
305,"t=22.73,h=35.38,p=1008.49",46311
306,"t=22.73,h=35.38,p=1008.49",46323
307,"t=22.73,h=35.39,p=1008.50",46349
308,"t=22.73,h=35.39,p=1008.50",46322
309,"t=22.73,h=35.38,p=1008.49",46315
310,"t=22.73,h=35.38,p=1008.49",46320
311,"t=22.73,h=35.38,p=1008.49",46325
312,"t=22.73,h=35.38,p=1008.49",46308
313,"t=22.73,h=35.38,p=1008.50",46319
314,"t=22.73,h=35.38,p=1008.50",46319
315,"t=22.73,h=35.37,p=1008.51",46313
316,"t=22.73,h=35.37,p=1008.51",46322
317,"t=22.73,h=35.39,p=1008.50",46314
318,"t=22.73,h=35.39,p=1008.50",46312
319,"t=22.73,h=35.38,p=1008.49",46343
320,"t=22.73,h=35.38,p=1008.49",46326
321,"t=22.73,h=35.38,p=1008.52",46308
322,"t=22.73,h=35.38,p=1008.52",46314
323,"t=22.73,h=35.38,p=1008.50",46319
324,"t=22.73,h=35.38,p=1008.50",46311
325,"t=22.73,h=35.38,p=1008.51",46323
326,"t=22.73,h=35.38,p=1008.51",46309
327,"t=22.73,h=35.38,p=1008.51",46323
328,"t=22.73,h=35.39,p=1008.53",46319
329,"t=22.73,h=35.39,p=1008.53",46331
330,"t=22.73,h=35.39,p=1008.52",46311
331,"t=22.73,h=35.39,p=1008.52",46320
332,"t=22.73,h=35.36,p=1008.52",46310
333,"t=22.73,h=35.36,p=1008.52",46310
334,"t=22.74,h=35.36,p=1008.51",46326
335,"t=22.74,h=35.36,p=1008.51",46315
336,"t=22.74,h=35.36,p=1008.52",46331
337,"t=22.74,h=35.36,p=1008.52",46322
338,"t=22.73,h=35.38,p=1008.50",46319
339,"t=22.73,h=35.38,p=1008.50",46310
340,"t=22.73,h=35.34,p=1008.50",46320
341,"t=22.73,h=35.34,p=1008.50",46319
342,"t=22.73,h=35.37,p=1008.49",46316
343,"t=22.73,h=35.37,p=1008.49",46313
344,"t=22.73,h=35.38,p=1008.53",46312
345,"t=22.73,h=35.38,p=1008.53",46306
346,"t=22.73,h=35.37,p=1008.53",46322
347,"t=22.73,h=35.37,p=1008.53",46324
348,"t=22.73,h=35.34,p=1008.53",46323
349,"t=22.73,h=35.34,p=1008.53",46329
350,"t=22.73,h=35.37,p=1008.53",46315
351,"t=22.73,h=35.37,p=1008.53",46322
352,"t=22.73,h=35.36,p=1008.52",46321
353,"t=22.73,h=35.36,p=1008.52",46319
354,"t=22.73,h=35.36,p=1008.51",46308
355,"t=22.73,h=35.36,p=1008.51",46317
356,"t=22.73,h=35.38,p=1008.49",46311
357,"t=22.73,h=35.38,p=1008.49",46323
358,"t=22.73,h=35.38,p=1008.48",46316
359,"t=22.73,h=35.38,p=1008.48",46353
360,"t=22.73,h=35.39,p=1008.51",46310
361,"t=22.73,h=35.39,p=1008.51",46306
362,"t=22.73,h=35.37,p=1008.50",46324
363,"t=22.73,h=35.37,p=1008.50",46311
364,"t=22.73,h=35.38,p=1008.51",46322
365,"t=22.73,h=35.38,p=1008.51",46309
366,"t=22.73,h=35.38,p=1008.52",46319
367,"t=22.73,h=35.38,p=1008.52",46312
368,"t=22.73,h=35.38,p=1008.52",46318
369,"t=22.73,h=35.38,p=1008.52",46308
370,"t=22.73,h=35.37,p=1008.52",46316
371,"t=22.73,h=35.37,p=1008.52",46314
372,"t=22.73,h=35.37,p=1008.49",46317
373,"t=22.73,h=35.37,p=1008.49",46313
374,"t=22.73,h=35.37,p=1008.49",46308
375,"t=22.73,h=35.37,p=1008.49",46318
376,"t=22.73,h=35.37,p=1008.52",46351
377,"t=22.73,h=35.37,p=1008.52",46315
378,"t=22.73,h=35.37,p=1008.52",46310
379,"t=22.73,h=35.37,p=1008.52",46319
380,"t=22.73,h=35.37,p=1008.52",46322
381,"t=22.73,h=35.37,p=1008.51",46320
382,"t=22.73,h=35.37,p=1008.51",46315
383,"t=22.73,h=35.39,p=1008.52",46322
384,"t=22.73,h=35.39,p=1008.52",46309
385,"t=22.73,h=35.36,p=1008.52",46322
386,"t=22.73,h=35.36,p=1008.52",46317
387,"t=22.73,h=35.38,p=1008.49",46318
388,"t=22.73,h=35.38,p=1008.49",46311
389,"t=22.73,h=35.37,p=1008.49",46311
390,"t=22.73,h=35.37,p=1008.49",46317
391,"t=22.73,h=35.37,p=1008.51",46311
392,"t=22.73,h=35.37,p=1008.51",46327
393,"t=22.73,h=35.40,p=1008.51",46310
394,"t=22.73,h=35.40,p=1008.51",46322
395,"t=22.73,h=35.37,p=1008.54",46321
396,"t=22.73,h=35.37,p=1008.54",46312
397,"t=22.73,h=35.38,p=1008.52",46309
398,"t=22.73,h=35.38,p=1008.52",46311
399,"t=22.73,h=35.38,p=1008.53",46314
400,"t=22.73,h=35.38,p=1008.53",46300
401,"t=22.73,h=35.38,p=1008.51",46310
402,"t=22.73,h=35.38,p=1008.51",46332
403,"t=22.73,h=35.38,p=1008.51",46328
404,"t=22.73,h=35.38,p=1008.51",46363
405,"t=22.73,h=35.38,p=1008.50",46320
406,"t=22.73,h=35.38,p=1008.50",46310
407,"t=22.73,h=35.38,p=1008.50",46321
408,"t=22.73,h=35.38,p=1008.50",46311
409,"t=22.73,h=35.39,p=1008.52",46320
410,"t=22.73,h=35.39,p=1008.52",46314
411,"t=22.73,h=35.38,p=1008.51",46328
412,"t=22.73,h=35.38,p=1008.51",46320
413,"t=22.73,h=35.38,p=1008.50",46312
414,"t=22.73,h=35.38,p=1008.50",46310
415,"t=22.73,h=35.38,p=1008.49",46333
416,"t=22.73,h=35.38,p=1008.49",46311
417,"t=22.72,h=35.38,p=1008.49",46313
418,"t=22.72,h=35.38,p=1008.49",46317
419,"t=22.73,h=35.38,p=1008.51",46315
420,"t=22.73,h=35.38,p=1008.51",46319
421,"t=22.73,h=35.37,p=1008.52",46313
422,"t=22.73,h=35.37,p=1008.52",46318
423,"t=22.74,h=35.38,p=1008.52",46325
424,"t=22.74,h=35.38,p=1008.52",46335
425,"t=22.73,h=35.38,p=1008.52",46309
426,"t=22.73,h=35.38,p=1008.52",46320
427,"t=22.74,h=35.39,p=1008.51",46310
428,"t=22.74,h=35.39,p=1008.51",46321
429,"t=22.74,h=35.39,p=1008.51",46307
430,"t=22.73,h=35.37,p=1008.53",46353
431,"t=22.73,h=35.37,p=1008.53",46322
432,"t=22.74,h=35.40,p=1008.51",46316
433,"t=22.74,h=35.40,p=1008.51",46330
434,"t=22.73,h=35.39,p=1008.51",46337
435,"t=22.73,h=35.39,p=1008.51",46314
436,"t=22.74,h=35.40,p=1008.52",46314
437,"t=22.74,h=35.40,p=1008.52",46323
438,"t=22.73,h=35.45,p=1008.51",46321
439,"t=22.73,h=35.45,p=1008.51",46328
440,"t=22.74,h=35.41,p=1008.50",46319
441,"t=22.74,h=35.41,p=1008.50",46324
442,"t=22.74,h=35.40,p=1008.52",46313
443,"t=22.74,h=35.40,p=1008.52",46313
444,"t=22.74,h=35.45,p=1008.51",46317
445,"t=22.74,h=35.45,p=1008.51",46312
446,"t=22.74,h=35.41,p=1008.53",46312
447,"t=22.74,h=35.41,p=1008.53",46319
448,"t=22.73,h=35.41,p=1008.52",46321
449,"t=22.73,h=35.41,p=1008.52",46318
450,"t=22.74,h=35.41,p=1008.51",46321
451,"t=22.74,h=35.41,p=1008.51",46311
452,"t=22.74,h=35.41,p=1008.52",46322
453,"t=22.74,h=35.41,p=1008.52",46314
454,"t=22.74,h=35.41,p=1008.51",46312
455,"t=22.74,h=35.41,p=1008.51",46309
456,"t=22.74,h=35.42,p=1008.54",46320
457,"t=22.74,h=35.42,p=1008.54",46327
458,"t=22.74,h=35.42,p=1008.54",46322
459,"t=22.74,h=35.42,p=1008.54",46331
460,"t=22.74,h=35.41,p=1008.53",46310
461,"t=22.74,h=35.41,p=1008.53",46323
462,"t=22.74,h=35.39,p=1008.52",46320
463,"t=22.74,h=35.39,p=1008.52",46322
464,"t=22.74,h=35.41,p=1008.53",46312
465,"t=22.74,h=35.41,p=1008.53",46321
466,"t=22.74,h=35.41,p=1008.53",46311
467,"t=22.74,h=35.41,p=1008.53",46321
468,"t=22.74,h=35.41,p=1008.50",46317
469,"t=22.74,h=35.41,p=1008.50",46325
470,"t=22.74,h=35.41,p=1008.50",46319
471,"t=22.74,h=35.41,p=1008.50",46324
472,"t=22.74,h=35.41,p=1008.52",46312
473,"t=22.74,h=35.41,p=1008.52",46315
474,"t=22.74,h=35.41,p=1008.52",46325
475,"t=22.74,h=35.41,p=1008.52",46314
476,"t=22.74,h=35.40,p=1008.51",46324
477,"t=22.74,h=35.40,p=1008.51",46319
478,"t=22.74,h=35.40,p=1008.52",46321
479,"t=22.74,h=35.40,p=1008.52",46319
480,"t=22.73,h=35.40,p=1008.53",46325
481,"t=22.73,h=35.40,p=1008.53",46315
482,"t=22.73,h=35.40,p=1008.53",46325
483,"t=22.74,h=35.38,p=1008.51",46331
484,"t=22.74,h=35.38,p=1008.51",46327
485,"t=22.74,h=35.39,p=1008.53",46316
486,"t=22.74,h=35.39,p=1008.53",46320
487,"t=22.74,h=35.40,p=1008.53",46310
488,"t=22.74,h=35.40,p=1008.53",46308
489,"t=22.73,h=35.40,p=1008.54",46323
490,"t=22.73,h=35.40,p=1008.54",46306
491,"t=22.74,h=35.41,p=1008.53",46327
492,"t=22.74,h=35.41,p=1008.53",46312
493,"t=22.74,h=35.41,p=1008.51",46323
494,"t=22.74,h=35.41,p=1008.51",46310
495,"t=22.74,h=35.39,p=1008.52",46318
496,"t=22.74,h=35.39,p=1008.52",46308
497,"t=22.74,h=35.40,p=1008.50",46327
498,"t=22.74,h=35.40,p=1008.50",46320
499,"t=22.74,h=35.42,p=1008.55",46324
500,"t=22.74,h=35.42,p=1008.55",46316
501,"t=22.74,h=35.40,p=1008.54",46312
502,"t=22.74,h=35.40,p=1008.54",46320
503,"t=22.74,h=35.40,p=1008.54",46311
504,"t=22.74,h=35.40,p=1008.54",46319
505,"t=22.74,h=35.40,p=1008.53",46310
506,"t=22.74,h=35.40,p=1008.53",46319
507,"t=22.74,h=35.38,p=1008.53",46315
508,"t=22.74,h=35.38,p=1008.53",46320
509,"t=22.74,h=35.41,p=1008.52",46317
510,"t=22.74,h=35.41,p=1008.52",46320
511,"t=22.74,h=35.39,p=1008.51",46307
512,"t=22.74,h=35.39,p=1008.51",46316
513,"t=22.74,h=35.40,p=1008.53",46320
514,"t=22.74,h=35.40,p=1008.53",46312
515,"t=22.74,h=35.39,p=1008.52",46308
516,"t=22.74,h=35.39,p=1008.52",46311
517,"t=22.74,h=35.40,p=1008.52",46324
518,"t=22.74,h=35.40,p=1008.52",46326
519,"t=22.74,h=35.40,p=1008.53",46319
520,"t=22.74,h=35.40,p=1008.53",46307
521,"t=22.74,h=35.40,p=1008.51",46314
522,"t=22.74,h=35.40,p=1008.51",46313
523,"t=22.74,h=35.39,p=1008.53",46327
524,"t=22.74,h=35.39,p=1008.53",46316
525,"t=22.74,h=35.39,p=1008.51",46322
526,"t=22.74,h=35.39,p=1008.51",46309
527,"t=22.74,h=35.40,p=1008.52",46328
528,"t=22.74,h=35.40,p=1008.52",46314
529,"t=22.74,h=35.39,p=1008.53",46332
530,"t=22.74,h=35.39,p=1008.53",46321
531,"t=22.74,h=35.40,p=1008.51",46338
532,"t=22.74,h=35.40,p=1008.51",46315
533,"t=22.74,h=35.40,p=1008.51",46313
534,"t=22.74,h=35.41,p=1008.53",46324
535,"t=22.74,h=35.41,p=1008.53",46312
536,"t=22.73,h=35.38,p=1008.50",46320
537,"t=22.73,h=35.38,p=1008.50",46314
538,"t=22.74,h=35.39,p=1008.49",46316
539,"t=22.74,h=35.39,p=1008.49",46314
540,"t=22.72,h=35.40,p=1008.48",46328
541,"t=22.72,h=35.40,p=1008.48",46328
542,"t=22.74,h=35.40,p=1008.52",46322
543,"t=22.74,h=35.40,p=1008.52",46313
544,"t=22.74,h=35.41,p=1008.52",46312
545,"t=22.74,h=35.41,p=1008.52",46325
546,"t=22.74,h=35.40,p=1008.53",46313
547,"t=22.74,h=35.40,p=1008.53",46319
548,"t=22.74,h=35.41,p=1008.52",46316
549,"t=22.74,h=35.41,p=1008.52",46324
550,"t=22.73,h=35.39,p=1008.51",46315
551,"t=22.73,h=35.39,p=1008.51",46316
552,"t=22.74,h=35.40,p=1008.52",46319
553,"t=22.74,h=35.40,p=1008.52",46325
554,"t=22.73,h=35.41,p=1008.49",46311
555,"t=22.73,h=35.41,p=1008.49",46326
556,"t=22.74,h=35.40,p=1008.50",46314
557,"t=22.74,h=35.40,p=1008.50",46323
